Date, Close/Last, Volume, Open, High, Low
02/21/2020, $117.01, 3856485, $117.83, $118.88, $116.8
02/20/2020, $118.26, 2659414, $116.97, $118.29, $116.57
02/19/2020, $117.39, 2866708, $117.69, $118.13, $117.05
02/18/2020, $117.83, 3124505, $116.95, $117.8664, $116.35
02/14/2020, $116.63, 3289074, $118.3, $118.46, $116.3
02/13/2020, $118.28, 2654853, $117.84, $118.5, $117.42
02/12/2020, $118.11, 3764763, $116.66, $118.75, $116.47
02/11/2020, $116.69, 3065138, $117.07, $117.14, $115.12
02/10/2020, $116.98, 3861956, $115.6, $117.24, $115.6
02/07/2020, $115.61, 2970771, $115.02, $115.645, $114.46
02/06/2020, $115.14, 4024950, $115.99, $116.38, $114.756
02/05/2020, $115.53, 3636704, $114.01, $115.9, $113.85
02/04/2020, $113.25, 3625983, $113.64, $114.8, $113.2
02/03/2020, $112.51, 5187064, $111.14, $113.41, $111
01/31/2020, $110.74, 6961859, $113.41, $113.79, $110.37
01/30/2020, $114.67, 4466432, $113.77, $114.71, $112.89
01/29/2020, $114.27, 5253317, $115.78, $116.08, $114.25
01/28/2020, $115.44, 3865136, $116.15, $116.46, $115.43
01/27/2020, $115.78, 6779205, $112.95, $116.21, $112.57
01/24/2020, $114.32, 4338894, $116, $116, $113.64
01/23/2020, $115.53, 4641911, $113.53, $115.57, $113.096
01/22/2020, $113.9, 5070573, $114.14, $115.08, $113.77
01/21/2020, $114.04, 8188045, $116.66, $116.66, $113.82
01/17/2020, $116.92, 7303836, $116.49, $117.79, $116.17
01/16/2020, $116.32, 9361595, $117.14, $117.32, $115.83
01/15/2020, $117, 26743410, $117.49, $119.4, $115.56
01/14/2020, $125.26, 3293810, $123.6, $125.66, $123.435
01/13/2020, $123.87, 3633700, $124.59, $124.68, $122.9267
01/10/2020, $124.73, 4678388, $124.71, $125.7, $124.05
01/09/2020, $123.5, 5369999, $123.5, $124.91, $122.66
01/08/2020, $123.4, 5732562, $124.05, $125.2472, $123.34
01/07/2020, $123.8, 3667938, $123, $124.43, $123
01/06/2020, $123.58, 4228712, $123.97, $124.6517, $123.22
01/03/2020, $124.76, 5019830, $124.66, $125.53, $123.93
01/02/2020, $126.07, 5152676, $128.74, $128.9, $125.26
12/31/2019, $128.21, 4059798, $128.4, $128.97, $127.3655
12/30/2019, $128.89, 2547386, $129, $129.95, $128.41
12/27/2019, $129.21, 2235176, $129, $129.23, $128.23
12/26/2019, $128.89, 2198450, $129.13, $129.4025, $127.93
12/24/2019, $128.55, 1643404, $128.9, $128.9, $127.95
12/23/2019, $128.34, 4052836, $129.47, $129.54, $128.01
12/20/2019, $129.15, 6224958, $129.45, $130.24, $128.5
12/19/2019, $128.7, 3292702, $127.72, $128.98, $127.37
12/18/2019, $128.08, 3941408, $128.51, $129.08, $127.75
12/17/2019, $128.38, 5617701, $126.47, $128.91, $126
12/16/2019, $125.96, 4489187, $127.79, $128, $125.96
12/13/2019, $127.22, 2970365, $126.72, $127.43, $126.1667
12/12/2019, $127.52, 3681746, $125.66, $127.86, $125.13
12/11/2019, $125.8, 2816301, $125.4, $125.89, $124.73
12/10/2019, $125.77, 3574236, $126.09, $126.57, $125.32
12/09/2019, $126.45, 3552926, $124.98, $127.18, $124.9026
12/06/2019, $125.03, 4305997, $125.17, $126.4, $124.86
12/05/2019, $124.68, 2614732, $125.06, $125.33, $123.65
12/04/2019, $124.52, 3935973, $125.01, $125.53, $124.3
12/03/2019, $124.04, 4270264, $122.6, $124.58, $122.33
12/02/2019, $123.98, 4200288, $125.7, $126.2, $123.91
