Date, Close/Last, Volume, Open, High, Low
11/13/2020, $144.71, 2580479, $143.77, $144.89, $143.27
11/12/2020, $143.84, 2570479, $144.25, $144.74, $142.76
11/11/2020, $143.9, 4389762, $142.856, $144.24, $141.61
11/10/2020, $141.72, 5284513, $136.99, $142.44, $136.1935
11/09/2020, $138.45, 6111302, $142, $143.6499, $138.17
11/06/2020, $138.38, 2867077, $138.56, $139.77, $137.33
11/05/2020, $138.05, 3667806, $139.355, $140.27, $137.47
11/04/2020, $137.86, 4576320, $139, $141.7, $137.66
11/03/2020, $137.04, 3293928, $136.62, $138.6, $136.28
11/02/2020, $135.15, 3126408, $135.61, $136.23, $133.78
10/30/2020, $133.29, 4303971, $132.93, $133.84, $131.71
10/29/2020, $133.99, 3856469, $133.755, $135.63, $132.2621
10/28/2020, $134.17, 5196038, $137.151, $137.71, $133.94
10/27/2020, $139.12, 3390825, $138.571, $139.89, $138.3
10/26/2020, $138.06, 3431215, $138.74, $139.08, $136.41
10/23/2020, $139.56, 2758507, $140.22, $140.53, $139.04
10/22/2020, $139.61, 2909227, $139.8, $140.2, $139.01
10/21/2020, $139.6, 2560061, $139.683, $140.48, $139.1
10/20/2020, $139.71, 2751622, $141, $141.215, $139.4072
10/19/2020, $139.68, 3223384, $141.34, $142.53, $139.25
10/16/2020, $141.73, 5076139, $141.75, $142.82, $141.13
10/15/2020, $141.43, 3307718, $141.16, $141.97, $140.62
10/14/2020, $142.52, 3641327, $143.55, $144.11, $141.625
10/13/2020, $143.54, 4293198, $142.22, $144, $141.91
10/12/2020, $142.13, 6167150, $141.12, $143.49, $139.78
10/09/2020, $138.44, 3194022, $138.7, $139.26, $137.895
10/08/2020, $137.85, 2977598, $137.28, $138.13, $136.76
10/07/2020, $137.01, 4347287, $135.94, $137.52, $135.76
10/06/2020, $135.7, 5031019, $138, $138.82, $135.15
10/05/2020, $137.93, 4519821, $138.11, $138.38, $136.98
10/02/2020, $138.06, 5130582, $139.28, $139.91, $136.2
10/01/2020, $140.8, 6483894, $139.44, $140.85, $137.4866
09/30/2020, $138.6, 7060713, $137.99, $139.19, $136.9
09/29/2020, $137.16, 4333805, $138.66, $139.54, $137.13
09/28/2020, $137.97, 7487509, $136.04, $138.58, $135.67
09/25/2020, $133.55, 4575979, $130.89, $133.83, $130.515
09/24/2020, $131.58, 4316594, $131.437, $132.31, $129.92
09/23/2020, $131, 5909940, $132.7, $132.82, $129.85
09/22/2020, $132.15, 3950959, $131, $132.89, $130.445
09/21/2020, $131.24, 4402723, $130.37, $131.31, $129.36
09/18/2020, $131.47, 8472958, $133.71, $134.79, $130.01
09/17/2020, $133.2, 5186417, $133.39, $134.55, $131.69
09/16/2020, $134.98, 3353726, $136.28, $136.6, $134.78
09/15/2020, $135.62, 4080783, $136.48, $137.24, $135.41
09/14/2020, $136.67, 2779316, $136.528, $137.5, $135.8
09/11/2020, $135.81, 3411914, $135.22, $136.38, $134.23
09/10/2020, $134.76, 6050544, $136.6, $137.55, $133.88
09/09/2020, $137.11, 4282289, $135.5, $138.46, $135.4
09/08/2020, $135.55, 4901536, $138.31, $138.6295, $134.41
09/04/2020, $138.76, 4836833, $139.66, $140.31, $136.94
09/03/2020, $139.37, 6642417, $142.7663, $144.035, $138.12
09/02/2020, $143.29, 4918523, $139.52, $143.82, $139.35
09/01/2020, $139.19, 3422807, $140.25, $140.48, $138.505
08/31/2020, $140.06, 3828697, $139.32, $141.02, $139
08/28/2020, $139.94, 3355482, $138.52, $139.96, $137.24
08/27/2020, $138.4, 4159270, $138.71, $139.9284, $137.91
08/26/2020, $138.47, 6019737, $136.575, $138.66, $136.38
08/25/2020, $137.3, 2597448, $138.26, $138.38, $136.7
08/24/2020, $137.64, 3177925, $136.46, $137.68, $136.11
08/21/2020, $136.46, 4295630, $136.37, $136.66, $135.25
08/20/2020, $136.72, 2263090, $135.66, $137.15, $135.63
08/19/2020, $136.45, 3682226, $138.69, $138.795, $136.1
08/18/2020, $138.11, 2638555, $138.61, $138.61, $137.04
08/17/2020, $137.92, 2862635, $137.5, $138.89, $137.05
08/14/2020, $137.56, 2461687, $138.11, $138.172, $137.2
08/13/2020, $138.1, 2393520, $137.1, $138.61, $137.1
08/12/2020, $137.8, 4425182, $135.34, $138.68, $135.25
08/11/2020, $135.12, 3301552, $136.97, $137.45, $134.62
08/10/2020, $135.98, 3052091, $136.32, $136.88, $135.38
08/07/2020, $136.74, 3692151, $135.94, $136.76, $135.37
08/06/2020, $135.86, 2693058, $135.2735, $136.29, $135.2735
08/05/2020, $136.25, 2924634, $138.15, $138.15, $135.77
08/04/2020, $137.47, 2553613, $137.52, $137.59, $136.02
08/03/2020, $136.7, 2819273, $137.11, $137.5, $136
07/31/2020, $137.66, 4304080, $137.26, $137.7, $135.2
07/30/2020, $137.69, 2817632, $137.24, $138.22, $136.48
07/29/2020, $137.93, 3179281, $137.38, $139, $137.04
07/28/2020, $137.38, 3787724, $137.98, $138.59, $137.09
07/27/2020, $137.67, 3607669, $135.53, $137.76, $134.85
07/24/2020, $136.06, 3300145, $136.99, $138.64, $135.39
07/23/2020, $137.08, 5011384, $136.59, $137.25, $135.49
07/22/2020, $136.01, 3522313, $135.56, $136.25, $133.68
07/21/2020, $134.43, 5435487, $134.005, $136.41, $133.79
07/20/2020, $133.11, 3620256, $134.6136, $134.6136, $132.18
07/17/2020, $134.66, 3229486, $134.65, $135.06, $133.55
07/16/2020, $133.88, 3788127, $134.056, $134.36, $133.05
07/15/2020, $133.69, 5561264, $135.35, $136.19, $133.25
07/14/2020, $135.52, 6766836, $134.59, $136.9515, $134.25
07/13/2020, $134.91, 8960022, $136.77, $138.07, $134.47
07/10/2020, $134.46, 5932824, $132.37, $134.89, $131.2835
07/09/2020, $132.71, 4005220, $132.9, $133.94, $131.7272
07/08/2020, $134.22, 3798259, $134.16, $134.69, $133.16
07/07/2020, $133.57, 4424469, $132.27, $134.62, $132.17
07/06/2020, $133.3, 4221605, $133.08, $133.95, $132.31
07/02/2020, $132.85, 2769248, $133.54, $134.17, $132.54
07/01/2020, $132.36, 3633043, $132.53, $133.62, $131.94
06/30/2020, $132.26, 4626817, $131.83, $132.82, $130.855
06/29/2020, $131.08, 4173863, $130.18, $131.4, $129.43
06/26/2020, $128.93, 7372682, $131.68, $132.37, $128.06
06/25/2020, $131.41, 4442112, $129.14, $131.73, $128.05
06/24/2020, $129.56, 4853490, $130.52, $131.07, $128.68
06/23/2020, $131.36, 3625580, $131.62, $132.68, $130.98
06/22/2020, $131.05, 3379894, $130.55, $131.76, $129.95
06/19/2020, $131.28, 8296892, $134.41, $134.82, $131.22
06/18/2020, $132.78, 3417168, $131.42, $133.13, $130.63
06/17/2020, $131.76, 3309878, $131.89, $133.04, $131.49
06/16/2020, $131.67, 5198806, $132.68, $133.06, $130.12
06/15/2020, $130.48, 5482111, $128.29, $130.96, $126.53
06/12/2020, $129, 7039513, $129.15, $129.93, $127.43
06/11/2020, $127.84, 8540975, $134.22, $135.14, $127.46
06/10/2020, $134.13, 7069852, $133.28, $135.16, $133.17
06/09/2020, $132.97, 6447278, $131.83, $133.15, $131.05
06/08/2020, $132.21, 5613020, $131.38, $132.465, $131.235
06/05/2020, $132.44, 7075650, $131, $133.52, $130.77
06/04/2020, $130.57, 5229737, $131.59, $133.56, $130.18
06/03/2020, $132.82, 5421190, $133.24, $134.275, $132.6
06/02/2020, $132.63, 5327465, $133.05, $133.81, $131.12
06/01/2020, $132.99, 4050410, $131.6, $133.9461, $131.19
05/29/2020, $131.55, 13338800, $132.01, $132.24, $130.32
05/28/2020, $132.29, 4976408, $131.21, $132.73, $130.11
05/27/2020, $130.81, 5686547, $129.72, $130.84, $128.58
05/26/2020, $129.75, 5579269, $131.94, $132.05, $129.4
05/22/2020, $130.48, 3429228, $129.61, $130.63, $129.17
05/21/2020, $130.21, 4886277, $130.98, $131.44, $129.61
05/20/2020, $131.26, 8213135, $132.54, $132.6841, $130.34
05/19/2020, $131.73, 6640343, $134.43, $134.76, $131.4
05/18/2020, $135.52, 8480600, $136.85, $137.99, $135.06
05/15/2020, $135.95, 20338620, $133.77, $137.66, $132.787
